,trial_id,country_name,recruitment_status,country_iso3
2112,619,Spain,Not authorised,ESP
2113,619,Germany,Not authorised,DEU
2114,619,France,Not authorised,FRA
2115,620,Netherlands,"Authorised, recruitment pending",NLD
2116,621,Netherlands,"Authorised, recruitment pending",NLD
2117,622,France,Ended,FRA
2118,622,Spain,Ended,ESP
2119,622,Poland,Ended,POL
2120,622,Romania,Ended,ROU
2121,623,France,"Ongoing, recruitment ended",FRA
2122,624,Germany,"Ongoing, recruiting",DEU
2123,625,Finland,Not authorised,FIN
2124,626,France,Not authorised,FRA
2125,626,Spain,Not authorised,ESP
2126,626,Italy,Not authorised,ITA
2127,627,France,Ended,FRA
2128,628,Denmark,"Ongoing, recruitment ended",DNK
2129,629,Spain,Not authorised,ESP
2130,630,Spain,"Ongoing, recruiting",ESP
2131,631,Spain,"Ongoing, recruitment ended",ESP
2132,632,Spain,Ended,ESP
2133,632,Italy,Ended,ITA
2134,633,Italy,"Ongoing, recruiting",ITA
2135,634,Italy,"Ongoing, recruiting",ITA
2136,635,Belgium,"Ongoing, recruitment ended",BEL
2137,635,France,"Ongoing, recruitment ended",FRA
2138,635,Spain,"Ongoing, recruitment ended",ESP
2139,636,France,Ended,FRA
2140,637,Hungary,Ended,HUN
2141,638,Netherlands,"Ongoing, recruitment ended",NLD
2142,639,Spain,"Authorised, recruitment pending",ESP
2143,640,France,"Authorised, recruitment pending",FRA
2144,641,Spain,Ended,ESP
2145,642,Spain,Ended,ESP
2146,643,Spain,Ended,ESP
2147,644,France,"Ongoing, recruitment ended",FRA
2148,645,Finland,"Ongoing, recruiting",FIN
2149,646,Denmark,"Ongoing, recruiting",DNK
2150,647,Spain,"Authorised, recruitment pending",ESP
2151,648,Austria,"Authorised, recruiting",AUT
2152,649,Germany,"Ongoing, recruiting",DEU
2153,650,France,"Ongoing, recruitment ended",FRA
2154,651,Austria,"Ongoing, recruiting",AUT
2155,652,France,"Ongoing, recruitment ended",FRA
2156,653,France,"Ongoing, recruiting",FRA
2157,654,France,Ended,FRA
2158,655,Spain,Ended,ESP
2159,655,France,Ended,FRA
2160,656,Austria,"Authorised, recruitment pending",AUT
2161,656,Czechia,"Authorised, recruitment pending",CZE
2162,656,Italy,"Ongoing, recruiting",ITA
2163,656,Greece,"Authorised, recruitment pending",GRC
2164,656,Spain,"Ongoing, recruiting",ESP
2165,656,France,"Authorised, recruitment pending",FRA
2166,656,Germany,"Authorised, recruitment pending",DEU
2167,657,Spain,Ended,ESP
2168,658,Poland,Ended,POL
2169,658,Romania,Ended,ROU
2170,659,Romania,"Authorised, recruitment pending",ROU
2171,659,Croatia,"Authorised, recruitment pending",HRV
2172,659,Spain,"Ongoing, recruiting",ESP
2173,659,Greece,"Authorised, recruitment pending",GRC
2174,659,Poland,"Authorised, recruitment pending",POL
2175,659,Lithuania,"Authorised, recruitment pending",LTU
2176,660,Belgium,"Ongoing, recruiting",BEL
2177,661,Belgium,"Ongoing, recruiting",BEL
2178,662,Netherlands,"Ongoing, recruiting",NLD
2179,663,Italy,"Ongoing, recruiting",ITA
2180,664,Spain,"Ongoing, recruiting",ESP
2181,665,Denmark,"Ongoing, recruiting",DNK
2182,666,Poland,Ended,POL
2183,667,Poland,Temporarily halted,POL
2184,668,Germany,Not authorised,DEU
