,projectID,title,category,coordinator_name,coordinator_country,coordinator_activity_type,status,totalCostProj,project_start_year,project_end_year,opportunity_tier_cordis
86,638536,Substrate import at work: single-molecule studies of ABC transporters,Oncology,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,Germany,HES,CLOSED,1500000.0,2015,2021,Not applicable
87,638546,Detailed Characterization of Spray Systems using Novel Laser Imaging Techniques,Diagnostics / Biomarkers,LUNDS UNIVERSITET,Sweden,HES,CLOSED,1500000.0,2015,2020,Not applicable
88,638573,Mechanisms of Gene Silencing by the Glucocorticoid Receptor,Genomics / Molecular Biology,HELMHOLTZ ZENTRUM MUENCHEN DEUTSCHES FORSCHUNGSZENTRUM FUER GESUNDHEIT UND UMWELT GMBH,Germany,REC,CLOSED,1496275.0,2015,2021,Not applicable
89,638603,Reconstituting Autophagosome Biogenesis in vitro,Oncology,INSTITUT PASTEUR,France,REC,CLOSED,1499726.0,2015,2021,Not applicable
90,638718,Custom-made biosensors – Accelerating the transition to a bio-based economy,Genomics / Molecular Biology,FORSCHUNGSZENTRUM JULICH GMBH,Germany,REC,CLOSED,1482220.0,2015,2021,Not applicable
91,638873,Honeybee communication: animal social learning at the height of social complexity,Genomics / Molecular Biology,ROYAL HOLLOWAY AND BEDFORD NEW COLLEGE,United Kingdom,HES,CLOSED,1422010.2,2016,2021,Not applicable
92,638897,DNA end protection in Immunity and Cancer,Genomics / Molecular Biology,MAX DELBRUECK CENTRUM FUER MOLEKULARE MEDIZIN IN DER HELMHOLTZ-GEMEINSCHAFT (MDC),Germany,REC,CLOSED,1993421.0,2015,2021,Not applicable
93,638902,Utilizing evolutionary interactions to limit multidrug resistance,Genomics / Molecular Biology,DANMARKS TEKNISKE UNIVERSITET,Denmark,HES,CLOSED,1492453.0,2015,2020,Not applicable
94,638988,G-quadruplex DNA Structures and Genome Stability,Genomics / Molecular Biology,UNIVERSITATSKLINIKUM BONN,Germany,HES,CLOSED,1531625.0,2015,2021,Not applicable
95,639005,Unravelling cross-presentation pathways using a chemical biology approach,Oncology,UNIVERSITEIT LEIDEN,Netherlands,HES,CLOSED,1500000.0,2015,2020,Not applicable
96,639125,DEtermination of Orphan Receptor PHysiological Agonists and sigNals,Genomics / Molecular Biology,KOBENHAVNS UNIVERSITET,Denmark,HES,CLOSED,1499926.25,2015,2020,Not applicable
97,639192,Alternative life histories: linking genes to phenotypes to demography,Genomics / Molecular Biology,"UNIVERSITY COLLEGE CORK - NATIONAL UNIVERSITY OF IRELAND, CORK",Ireland,HES,CLOSED,1499202.0,2015,2021,Not applicable
98,639217,The physics and forensics of neutron star explosions,Diagnostics / Biomarkers,UNIVERSITEIT VAN AMSTERDAM,Netherlands,HES,CLOSED,1499999.0,2015,2020,Not applicable
99,639221,Extreme deformation of structured fluids and interfaces. Exploiting ultrafast collapse and yielding phenomena for new processes and formulated products,MedTech / Medical Device,TECHNISCHE UNIVERSITEIT DELFT,Netherlands,HES,CLOSED,1499186.0,2015,2021,Not applicable
100,639234,Unraveling the regulatory network of developmental programmed cell death in plants,Genomics / Molecular Biology,VIB VZW,Belgium,REC,CLOSED,1499746.0,2015,2020,Not applicable
101,639249,The Crosstalk Between Red And White Blood Cells: The Case Of Fish,Genomics / Molecular Biology,UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE,Spain,HES,CLOSED,1823250.0,2015,2020,Not applicable
102,639253,Novel Regulatory Principles of Polycomb Repressive Complex 2,Oncology,THE BABRAHAM INSTITUTE,United Kingdom,REC,CLOSED,1496523.0,2015,2022,Not applicable
103,639313,Quantitative Nanoscale Visualization of Macromolecular Complexes in Live Cells using Genetic Code Expansion and High-Resolution Imaging,Cell / Advanced Therapies,BEN-GURION UNIVERSITY OF THE NEGEV,Israel,HES,CLOSED,1625000.0,2015,2021,Not applicable
104,639314,A potent Micro-RNA therapeutic for nonalcoholic fatty liver disease (NAFLD),Oncology,THE HEBREW UNIVERSITY OF JERUSALEM,Israel,HES,CLOSED,149800.0,2015,2016,Not applicable
105,639382,Circadian Regulation Of Brown Adipose Thermogenesis,Genomics / Molecular Biology,KOBENHAVNS UNIVERSITET,Denmark,HES,CLOSED,1497007.51,2015,2020,Not applicable
